title,price,details,link,image_url,image_file,year,mileage,location
TIGUAN 2.0 TSI 16V TURBO AUTOMÁTICO,"R$ 58.890,00",,https://www.carflix.com.br/comprar/49662/volkswagen/tiguan/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/abf3a714-f93c-415e-baf0-b71c802348db/638246073593523414-638246073593523414-blob.jpg?height=215&mode=crop&compress=true&width=285,000_TIGUAN_20_TSI_16V_TURBO_AUTOMÁTICO.jpg,,,
TRIBECA 3.6 LIMITED AWD 6 AUTOMÁTICO,,,https://www.carflix.com.br/comprar/59900/subaru/tribeca/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/a4a4a4bb-389b-4e5c-adb9-71e07ca5918f/638459242893313565-638459242893313565-Frente_%C3%A2ngulo_do_motorista.jpg?height=215&mode=crop&compress=true&width=285,001_TRIBECA_36_LIMITED_AWD_6_AUTOMÁTICO.jpg,,,
ECOSPORT 2.0 XLT 16V FLEX AUTOMÁTICO,"R$ 37.890,00",,https://www.carflix.com.br/comprar/59222/ford/ecosport/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/53963521-0fb0-4b15-b7bc-be3a5d8a9df3/638441917905718949-638441917905718949-blob.jpg?height=215&mode=crop&compress=true&width=285,002_ECOSPORT_20_XLT_16V_FLEX_AUTOMÁTICO.jpg,,,
SPORTAGE 2.0 LX 4X2 16V AUTOMÁTICO,"R$ 102.890,00",,https://www.carflix.com.br/comprar/52694/kia/sportage/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/76f95167-f023-46b4-9ee3-26c9ca7bd68d/638496618895374181-638496618895374181-blob.jpg?height=215&mode=crop&compress=true&width=285,003_SPORTAGE_20_LX_4X2_16V_AUTOMÁTICO.jpg,,,
GOL 1.0 MI 8V FLEX MANUAL,"R$ 23.890,00",,https://www.carflix.com.br/comprar/74511/volkswagen/gol/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/c5120a9f-81fd-4675-9b2c-485724a3534b/638727099160836341-638727099160836341-blob.jpg?height=215&mode=crop&compress=true&width=285,004_GOL_10_MI_8V_FLEX_MANUAL.jpg,,,
CITY 1.5 IVTEC FLEX TOURING AUTOMÁTICO,"R$ 105.000,00",,https://www.carflix.com.br/comprar/62237/honda/city/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/2d5b6f1f-fd52-4d93-b977-0b46bb90a359/638508703792673602-638508703792673602-blob.jpg?height=215&mode=crop&compress=true&width=285,005_CITY_15_IVTEC_FLEX_TOURING_AUTOMÁTICO.jpg,,,
COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO,,,https://www.carflix.com.br/comprar/58297/jeep/compass/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/064153b6-989e-4fcd-a99a-6d39416855b5/638443765630855434-638443765630855434-blob.jpg?height=215&mode=crop&compress=true&width=285,006_COMPASS_20_16V_FLEX_LONGITUDE_AUTOMÁTICO.jpg,,,
C4 PICASSO 2.0 16V GASOLINA AUTOMÁTICO,"R$ 29.900,00",,https://www.carflix.com.br/comprar/79742/citroen/c4-picasso/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/fb0dceeb-efa7-4dbe-b8c6-af262f0ffd59/638780014642609220-638780014642609220-Frente_%C3%A2ngulo_do_motorista.jpg?height=215&mode=crop&compress=true&width=285,007_C4_PICASSO_20_16V_GASOLINA_AUTOMÁTICO.jpg,,,
JETTA 1.4 16V TSI COMFORTLINE AUTOMÁTICO,"R$ 68.890,00",,https://www.carflix.com.br/comprar/73163/volkswagen/jetta/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/0752d000-33f0-4269-82bf-9a3ebff083a5/638708185088715251-638708185088715251-blob.jpg?height=215&mode=crop&compress=true&width=285,008_JETTA_14_16V_TSI_COMFORTLINE_AUTOMÁTICO.jpg,,,
CLIO 1.0 AUTHENTIQUE SEDAN 16V MANUAL,"R$ 19.890,00",,https://www.carflix.com.br/comprar/83601/renault/clio/s%c3%a3o%20paulo,https://carflix.gumlet.io/vendas/7826c19d-fc19-4bff-acab-213022cccbe6/638855200047626439-638855200047626439-blob.jpg?height=215&mode=crop&compress=true&width=285,009_CLIO_10_AUTHENTIQUE_SEDAN_16V_MANUAL.jpg,,,
